country,continent,population,date,total_cases,new_cases,total_deaths,new_deaths,total_recovered,total_tests
USA,North-America,331000000,2020-03-01,15320,15320,426,426,13967,258761
USA,North-America,331000000,2020-03-02,18913,3593,532,106,13967,300418
USA,North-America,331000000,2020-03-03,19397,484,554,22,13967,300418
USA,North-America,331000000,2020-03-04,21818,2421,617,63,13967,371264
USA,North-America,331000000,2020-03-05,26364,4546,719,102,13967,457310
USA,North-America,331000000,2020-03-06,28060,1696,788,69,13967,482067
USA,North-America,331000000,2020-03-07,31227,3167,874,86,13967,527040
USA,North-America,331000000,2020-03-08,37065,5838,1028,154,13967,654162
USA,North-America,331000000,2020-03-09,40161,3096,1109,81,13967,721744
USA,North-America,331000000,2020-03-10,45083,4922,1305,196,13967,721744
USA,North-America,331000000,2020-03-11,51353,6270,1425,120,13967,881508
USA,North-America,331000000,2020-03-12,57984,6631,1594,169,13967,928656
USA,North-America,331000000,2020-03-13,66808,8824,1893,299,13967,1263066
USA,North-America,331000000,2020-03-14,73473,6665,2061,168,13967,1310398
USA,North-America,331000000,2020-03-15,83180,9707,2323,262,13967,1452871
USA,North-America,331000000,2020-03-16,92564,9384,2630,307,14758,1530513
USA,North-America,331000000,2020-03-17,108045,15481,3052,422,14758,1839428
USA,North-America,331000000,2020-03-18,118864,10819,3350,298,17912,2086851
USA,North-America,331000000,2020-03-19,133579,14715,3809,459,19300,2247657
USA,North-America,331000000,2020-03-20,144879,11300,4076,267,21507,2250943
USA,North-America,331000000,2020-03-21,172376,27497,4763,687,24205,2984549
USA,North-America,331000000,2020-03-22,195692,23316,5435,672,30269,3453960
USA,North-America,331000000,2020-03-23,202906,7214,5618,183,32773,3453960
USA,North-America,331000000,2020-03-24,236522,33616,6645,1027,35482,3769927
USA,North-America,331000000,2020-03-25,247477,10955,6775,130,40023,4173959
USA,North-America,331000000,2020-03-26,296054,48577,7980,1205,47510,4947793
USA,North-America,331000000,2020-03-27,309929,13875,8687,707,55464,4999803
USA,North-America,331000000,2020-03-28,366524,56595,9981,1294,60611,6129943
USA,North-America,331000000,2020-03-29,418833,52309,11261,1280,67323,6680348
USA,North-America,331000000,2020-03-30,467411,48578,13176,1915,68411,8181382
USA,North-America,331000000,2020-03-31,520276,52865,14350,1174,82997,9264461
USA,North-America,331000000,2020-04-01,534304,14028,15098,748,94251,9264461
USA,North-America,331000000,2020-04-02,617205,82901,17086,1988,106078,10411640
USA,North-America,331000000,2020-04-03,652475,35270,17847,761,120674,10476517
USA,North-America,331000000,2020-04-04,787541,135066,21488,3641,132561,12727348
USA,North-America,331000000,2020-04-05,799420,11879,22138,650,161362,14844621
USA,North-America,331000000,2020-04-06,890046,90626,24768,2630,161362,14844621
USA,North-America,331000000,2020-04-07,926539,36493,25498,730,199007,14960204
USA,North-America,331000000,2020-04-08,1057175,130636,29414,3916,199007,18562719
USA,North-America,331000000,2020-04-09,1224562,167387,33211,3797,238450,20732864
USA,North-America,331000000,2020-04-10,1242460,17898,34775,1564,238450,20732864
USA,North-America,331000000,2020-04-11,1421675,179215,38352,3577,287294,26513333
USA,North-America,331000000,2020-04-12,1539239,117564,42902,4550,361728,26742997
USA,North-America,331000000,2020-04-13,1539239,0,43669,767,376251,29009898
USA,North-America,331000000,2020-04-14,1539239,0,44009,340,455862,29009898
USA,North-America,331000000,2020-04-15,1791547,252308,51847,7838,455862,31523495
USA,North-America,331000000,2020-04-16,1866522,74975,51847,0,483202,32677061
USA,North-America,331000000,2020-04-17,2060195,193673,58520,6673,561381,35448232
USA,North-America,331000000,2020-04-18,2060195,0,59036,516,623771,36470975
USA,North-America,331000000,2020-04-19,2144260,84065,61174,2138,700766,37820724
USA,North-America,331000000,2020-04-20,2205499,61239,61174,0,705416,37987176
USA,North-America,331000000,2020-04-21,2323544,118045,65550,4376,801489,37987176
USA,North-America,331000000,2020-04-22,2452594,129050,71178,5628,857704,40683011
USA,North-America,331000000,2020-04-23,2452594,0,71178,0,1027832,41720620
USA,North-America,331000000,2020-04-24,2636449,183855,74472,3294,1126325,43785644
USA,North-America,331000000,2020-04-25,2636449,0,75411,939,1222876,44989526
USA,North-America,331000000,2020-04-26,2640768,4319,75411,0,1359737,47060256
USA,North-America,331000000,2020-04-27,2667744,26976,75515,104,1374272,47060256
USA,North-America,331000000,2020-04-28,2923133,255389,80039,4524,1374272,53178785
USA,North-America,331000000,2020-04-29,2923133,0,80462,423,1626652,53178785
USA,North-America,331000000,2020-04-30,2923133,0,80462,0,1714027,53178785
USA,North-America,331000000,2020-05-01,2923133,0,82106,1644,1718268,53178785
USA,North-America,331000000,2020-05-02,2923133,0,82106,0,1811037,53178785
USA,North-America,331000000,2020-05-03,2923133,0,83352,1246,1821885,53178785
USA,North-America,331000000,2020-05-04,2941087,17954,83352,0,1992436,53178785
USA,North-America,331000000,2020-05-05,2999373,58286,83704,352,1992436,53178785
USA,North-America,331000000,2020-05-06,2999373,0,85538,1834,2157585,55773048
USA,North-America,331000000,2020-05-07,2999373,0,85538,0,2237194,55773048
USA,North-America,331000000,2020-05-08,3175883,176510,86509,971,2392272,58302213
USA,North-America,331000000,2020-05-09,3189406,13523,90429,3920,2392272,58302213
USA,North-America,331000000,2020-05-10,3189406,0,90429,0,2422701,58302213
USA,North-America,331000000,2020-05-11,3305878,116472,93214,2785,2422701,58302213
USA,North-America,331000000,2020-05-12,3305878,0,93214,0,2679748,63500621
USA,North-America,331000000,2020-05-13,3305878,0,94756,1542,2679748,63500621
USA,North-America,331000000,2020-05-14,3305878,0,94756,0,2679748,63500621
USA,North-America,331000000,2020-05-15,3305878,0,94756,0,2679748,63500621
USA,North-America,331000000,2020-05-16,3305878,0,94756,0,2679748,63500621
USA,North-America,331000000,2020-05-17,3305878,0,94756,0,2679748,63500621
USA,North-America,331000000,2020-05-18,3363749,57871,94756,0,2748933,63500621
USA,North-America,331000000,2020-05-19,3363749,0,96262,1506,2748933,63500621
USA,North-America,331000000,2020-05-20,3363749,0,96262,0,2748933,63500621
USA,North-America,331000000,2020-05-21,3363749,0,96262,0,2748933,63500621
USA,North-America,331000000,2020-05-22,3363749,0,96262,0,2817017,63500621
USA,North-America,331000000,2020-05-23,3363749,0,96262,0,2817017,63500621
USA,North-America,331000000,2020-05-24,3363749,0,96262,0,2817017,63500621
USA,North-America,331000000,2020-05-25,3363749,0,98005,1743,2903884,63500621
USA,North-America,331000000,2020-05-26,3442618,78869,98005,0,2903884,63500621
USA,North-America,331000000,2020-05-27,3442618,0,98005,0,2903884,63500621
USA,North-America,331000000,2020-05-28,3442618,0,98135,130,2908171,63500621
USA,North-America,331000000,2020-05-29,3442618,0,98135,0,2908171,63500621
USA,North-America,331000000,2020-05-30,3442618,0,98135,0,2908171,65944140
USA,North-America,331000000,2020-05-31,3442618,0,98282,147,3083991,65944140
USA,North-America,331000000,2020-06-01,3442618,0,98282,0,3083991,65944140
USA,North-America,331000000,2020-06-02,3442618,0,98282,0,3083991,65944140
USA,North-America,331000000,2020-06-03,3442618,0,98282,0,3083991,66506732
USA,North-America,331000000,2020-06-04,3442618,0,98282,0,3083991,66506732
USA,North-America,331000000,2020-06-05,3442618,0,98282,0,3083991,66506732
