City,Region,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,AQI,AQI_Category
Delhi,Northern-India,2023-01-01,89.7,108.0,73.8,12.3,1.6,31.4,18.5,35.1,8.6,256.1,Poor
Delhi,Northern-India,2023-01-02,57.4,113.2,75.8,18.1,2.05,29.5,14.4,30.3,6.1,192.2,Moderate
Delhi,Northern-India,2023-01-03,60.5,138.0,73.0,20.5,1.54,37.5,19.2,41.0,8.8,208.3,Poor
Delhi,Northern-India,2023-01-04,73.5,150.7,68.8,,1.64,35.3,16.9,36.8,9.0,239.7,Poor
Delhi,Northern-India,2023-01-05,,122.4,63.9,14.5,1.77,23.5,15.2,38.8,14.0,257.2,Poor
Delhi,Northern-India,2023-01-06,90.6,147.8,61.2,23.2,1.6,40.2,15.6,30.7,4.8,272.4,Poor
Delhi,Northern-India,2023-01-07,73.5,153.9,62.3,17.4,1.95,36.3,15.3,36.4,8.5,238.1,Poor
Delhi,Northern-India,2023-01-08,55.2,196.5,78.8,20.3,1.67,27.9,14.4,32.1,12.8,222.3,Poor
Delhi,Northern-India,2023-01-09,44.6,142.5,77.3,20.1,2.05,37.9,16.3,29.7,4.3,177.9,Moderate
Delhi,Northern-India,2023-01-10,77.8,143.7,75.5,20.6,1.64,38.3,19.2,21.5,5.5,247.6,Poor
Delhi,Northern-India,2023-01-11,89.3,119.0,59.0,19.5,1.85,37.4,13.8,38.8,7.0,256.7,Poor
Delhi,Northern-India,2023-01-12,74.7,138.0,73.8,15.1,1.59,21.7,15.6,34.8,6.1,237.3,Poor
Delhi,Northern-India,2023-01-13,63.6,156.3,46.2,18.8,1.46,28.2,11.9,34.9,9.8,213.7,Poor
Delhi,Northern-India,2023-01-14,71.5,160.1,55.2,14.7,1.44,33.6,17.4,37.3,5.9,233.7,Poor
Delhi,Northern-India,2023-01-15,65.3,136.3,55.6,19.7,1.82,32.2,17.5,31.6,11.6,212.3,Poor
Delhi,Northern-India,2023-01-16,90.9,132.5,71.0,18.3,1.57,33.6,12.2,30.2,12.7,268.9,Poor
Delhi,Northern-India,2023-01-17,79.3,143.9,84.2,14.5,2.04,22.0,12.9,34.1,11.1,252.3,Poor
Delhi,Northern-India,2023-01-18,75.0,133.2,61.6,19.1,1.49,37.9,16.1,32.2,9.8,233.0,Poor
Delhi,Northern-India,2023-01-19,56.8,141.4,,15.3,1.72,30.6,13.6,30.8,4.5,194.7,Moderate
Delhi,Northern-India,2023-01-20,86.2,147.1,52.0,17.9,1.55,24.8,18.4,33.5,13.2,259.1,Poor
Delhi,Northern-India,2023-01-21,81.4,142.7,69.4,19.2,1.88,35.9,20.3,32.1,6.1,252.6,Poor
