Date,Open,High,Low,Close,Adj Close,Volume,Company,Sector,Moving_Average_20,Moving_Average_50,Daily_Return
2021-01-01,100.56,101.11,99.18,100.14,100.16,,Microsoft,Technology,,,
2021-01-02,100.14,101.03,99.36,100.45,100.36,4650056.0,Amazon,E-Commerce,,,0.0031
2021-01-03,101.07,102.48,100.35,100.73,100.57,1262886.0,Microsoft,Technology,,,0.0028
2021-01-04,102.8,103.6,101.81,102.39,102.18,4175341.0,Tesla,Automotive,,,0.0165
2021-01-05,102.32,104.17,101.6,103.13,102.99,3029386.0,Amazon,E-Commerce,,,0.0072
2021-01-06,102.08,103.29,101.76,102.73,102.96,3969108.0,Amazon,E-Commerce,,,-0.0039
2021-01-07,103.29,103.86,102.41,102.99,102.86,4853214.0,Tesla,Automotive,,,0.0025
2021-01-08,104.08,105.95,103.08,,104.72,3363647.0,Tesla,Automotive,,,0.0178
2021-01-09,103.24,104.74,102.01,104.34,104.25,3117253.0,Tesla,Automotive,,,-0.0046
2021-01-10,105.36,106.03,103.23,103.91,103.97,1058101.0,Apple,Technology,,,-0.0041
2021-01-11,103.4,105.24,102.37,104.43,104.52,4990618.0,Apple,Technology,,,0.005
2021-01-12,103.21,105.15,102.98,104.32,103.71,,Amazon,E-Commerce,,,-0.0011
2021-01-13,103.43,104.18,102.23,103.23,103.44,1060655.0,Amazon,E-Commerce,,,-0.0104
2021-01-14,102.33,103.25,100.86,101.42,101.71,1296688.0,Amazon,E-Commerce,,,-0.0175
2021-01-15,100.01,101.67,99.12,100.66,100.45,2241924.0,Microsoft,Technology,,,-0.0075
2021-01-16,100.22,101.24,99.0,99.73,99.53,2319583.0,Tesla,Automotive,,,-0.0092
2021-01-17,98.24,99.36,97.05,98.86,98.77,3079674.0,Amazon,E-Commerce,,,-0.0087
2021-01-18,99.03,99.78,98.5,99.06,98.91,2392056.0,Tesla,Automotive,,,0.002
2021-01-19,97.57,99.34,96.58,98.18,98.23,258988.0,Apple,Technology,,,-0.0089
2021-01-20,97.65,98.71,95.19,95.91,95.52,2711895.0,Tesla,Automotive,101.57,,-0.0231
2021-01-21,97.45,98.95,96.69,98.56,98.34,2127787.0,Microsoft,Technology,101.49,,0.0276
2021-01-22,97.97,99.3,97.22,98.4,98.71,4333384.0,Microsoft,Technology,101.39,,-0.0016
2021-01-23,98.2,98.4,97.22,97.77,97.58,4400546.0,Tesla,Automotive,101.24,,-0.0064
